Independent,Explanation,Dependent,Atributo,Clase
Dimension: N=4,A typification for M.,Dimension: N=4,N,Tip
M: Differentiable manifold,"A topological space that resembles euclidean space near each point. It can be coordinatized by Rn through a family of homeomorphisms.
",M: Differentiable manifold,M,M
$\left\{ _{\mu\nu}^{\lambda}\right\} $: Metric connection,"Also called Levi-Civita connection, it is dependent on the metric $g$. It gives us information about how to transport vectors along a curve, while conserving the metric.",$\left\{ _{\mu\nu}^{\lambda}\right\} $: Metric connection,Metric Connection,GO
$g$: Metric tensor field,"A symmetric tensor field of type $(0,2)$ and signature $<1,3>$. Provides a sense of distance and angles between vectors",$g_{\mu\nu}$: Metric tensor,Metric tensor,GO
$\psi$: Matter fields,,,Psi,GO
$T$: Stress-Energy-Momentum tensor field,"Symmetric tensor field $(2,0)$",$T_{\mu\nu}$: Stress-Energy-Momentum tensor,T,GO
$R$:Ricci scalar,$R=g^{\mu\nu}R_{\mu\nu}$,$R$:Ricci scalar,Ricci scalar,GO
Dependency,The connection and the metric tensor depend on each other.,Dependency,Dependent,Tip
$f(R)=R$,The function dependent on the Ricci scalar is of first order.,$f(R)=R$,f(R) = R,Cond
$f’(R)=1$,The first derivative of the function dependent on the Ricci scalar is one.,$f’(R)=1$,f’(R)=1,Cond
$f’’(R) =0$,The second derivative of the function of the Ricci scalar is cero ,$f’’(R) =0$,f’’(R) = 0,Cond
$\eta$: Minkowski’s metric,"Flat non-dynamical metric. Since $Riem(\Gamma)=0$, we can always choose global coordinates in which $\eta_{\mu\nu}=diag(-1,1,1,1)$",,eta,GO
$Riem(\Gamma)=0$,Riemann’s curvature tensor of the affine connection is zero. Found as $K=0$ in Friedman. It is one of Trautman’s homogenous condition.,,K=0,Cond
"$S_{M}=S_{M}(g_{\mu\nu},\psi)$",Matter term,"SM = SM ( g𝞵𝞶, 𝚪𝞴𝞵𝞶 ,𝞧 )",SM1,Action
"$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu},\psi)$",Total action for a metric $f(R)$,"Smet = 1/2𝞳 ∫d4x√-g f(R) + SM(g𝞶𝞵, 𝞧)",Eq 5,Action
$f'(R)R_{\mu\nu}-\frac{1}{2}f(R)g_{\mu\nu}-\left[\nabla_{\mu}\nabla_{\nu}-g_{\mu\nu}\nabla^{\mu}\nabla_{\mu}\right]f'(R)=\kappa T_{\mu\nu}$,Field equation of metric  $f(R)$,f’(R)R𝞵𝞶-1/2f(R)g𝞵𝞶 - [∇𝞵∇𝞶-g𝞵𝞶☐] f’(R) = 𝞳T𝞵𝞶,Eq 6,FieldEq
Einstein’s Equation: $G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$,"Matter tells space how tu curve, and Curvature tells matter how to move.",,Einstein’s Eq,FieldEq
Geodesic Equation:$D_{T\sigma}T_{\sigma}=0$,Free particles follow timeline geodesics of the connection.,Geodesic Equation: $\frac{d^{2}x_{i}}{dt^{2}}+\Gamma_{jk}^{i}\frac{dx_{j}}{dt}\frac{dx_{k}}{dt}=0$,Geodesic law,MovEq
"
Field Equations","$R_{\mu\nu}-\frac{1}{2}g_{\mu\nu}R-\lambda(\phi)g_{\mu\nu}=8\pi\phi^{-1}T_{\mu\nu}+\phi^{-2}w(\phi)(\phi,_{\mu}\phi,_{\nu}-\frac{1}{2}g_{\mu\nu}\phi,_{\lambda}\phi^{,\lambda})+\phi^{-1}(\phi_{;\mu\nu}-g_{\mu\nu}\oblong_{g}\phi)$,
$\oblong_{g}\phi+\frac{2\phi^{2}\frac{d\lambda}{d\phi}-3\phi\lambda(\phi)}{3+2w(\phi)}=\frac{1}{3+2w(\phi)}\left(8\pi T-\frac{dw}{d\phi}\phi,_{\mu}\phi^{,\mu}\right)$",,Ec 5-31,FieldEq
Field equations for Vector-Tensor theories,"$R_{\mu\nu}-\frac{1}{2}g_{\mu\nu}R-w\varTheta_{\mu\nu}^{(w)}+\eta\Theta_{\mu\nu}^{(\eta)}+\varepsilon\Theta_{\mu\nu}^{(\varepsilon)}+\tau\Theta_{\mu\nu}^{(\tau)}=8\pi GT_{\mu\nu}$
,
$\varepsilon F_{;\nu}^{\mu\nu}+\frac{1}{2}\tau K_{;\nu}^{\mu;\nu}-\frac{1}{2}wK^{\mu}R-\frac{1}{2}\eta K^{\nu}R_{\nu}^{\mu}=0$
",,Ec 5-47,FieldEq
Field equation for Rosen’s theory,$\oblong_{\eta}g_{\mu\nu}-g^{\alpha\beta}\eta^{\gamma\delta}g_{\mu\alpha\mid\gamma}g_{\nu\beta\mid\delta}=-16\pi G(\frac{g}{\eta})^{\frac{1}{2}}(T_{\mu\nu}-\frac{1}{2}g{}_{\mu\nu}T)$,,Ec 5-68,FieldEq
Field equation for Rastall’s theory,"$\left[F(N)K^{\mu;\nu}\right]_{;\nu}-F'(N)K^{\mu}K^{\alpha;\beta}K_{\alpha;\beta}+(1+\eta^{\alpha\beta}K_{\alpha}K_{\beta})^{-\frac{1}{2}}(\Theta^{\mu\nu}-\frac{1}{2}g^{\mu\nu}\Theta)K_{\nu}=8\pi G(1+\eta^{\alpha\beta}K_{\alpha}K_{\beta})^{-\frac{1}{2}}(T^{\mu\nu}-\frac{1}{2}g^{\mu\nu}T)K_{\nu}$,
$\Theta^{\mu\nu}\equiv F(N)(K^{\mu;\alpha}K_{;\alpha}^{\nu}+K^{\alpha;}K_{\alpha}^{;\nu}-\frac{1}{2}g^{\mu\nu}K_{\alpha;\beta}K^{\alpha;\beta})+\left\{ F(N)\left[K^{\alpha}K^{\left(\mu;\nu\right)}-K^{\mu}K^{(\nu;\alpha)}-K^{\nu}K^{(\mu;\alpha)}\right]\right\} _{;\alpha}+F'(N)K^{\alpha;\beta}K_{\alpha;\beta}K^{\mu}K^{\nu}$


",,Ec 5-75,FieldEq
Field equation for BSLL bimetric theory,"$\oblong_{\eta}B^{\mu\nu}=-(\frac{4\pi}{a})(g/\eta)^{\frac{1}{2}}T^{\alpha\beta}\left[\theta_{\alpha\beta}^{\mu\nu}-f(a+4f)^{-1}\varTheta_{\alpha\beta}^{\gamma\delta}\eta^{\mu\nu}\eta_{\gamma\delta}\right]$,
where
$\theta_{\alpha\beta}^{\mu\nu}=\frac{\partial g_{\alpha\beta}}{\partial B_{\mu\nu}}$.
",,Ec 5-84,FieldEq
Field equation for stratified theories,"$\oblong_{\eta}\phi+\left[f_{3}(\phi)+1\right]\phi_{00}+\frac{1}{2}f’_{3}(\phi)\phi_{,0}^{2}-\frac{1}{2}K_{2}B_{,ij}^{ij}=2\pi(-g)^{\frac{1}{2}}\left[T^{00}f’_{1}(\phi)-T^{ii}f'_{2}(\phi)\right]$,
$\oblong B^{ij}+(\frac{\kappa_{2}}{2\kappa_{1}})\phi^{,ij}=\left(\frac{2\pi}{\kappa_{1}}\right)\left(-g\right)^{\frac{1}{2}}T^{ij}$.",,Ec 5-95,FieldEq
$K^{\mu}$: Dynamical vector field,(assumed timelike),,Kmn,GO
$\phi$: Dynamical scalar field,,,Phi,GO
Symmetric tensor field,,,B,GO
$t$: Cosmic time function,A nondynamical scalar field. The gradient of $t$ is covariantly constant and timelike with respect to $\eta$. This scalar field selects out preferred spatial sections of “strata” in the universe that are orthogonal to $\nabla$.,,t,GO
Cosmological function $\lambda(\phi)$,"$\lambda(\phi)$ causes two effects: in the field equation for $g$ it plays the same role as the cosmological constant in GR, and, in the field equation, it gives $(\phi)$ a range l related to $\lambda$, $w$ and their derivatives, in the sense that the solutions for $(\phi)$ for an isolated system contain Yukawa-like terms $exp\left(-r/l\right)$",,lambda,Cosmo
$\lambda(\phi)=0$,,,lambda=0,Cond
$w(\phi)$: Arbitrary coupling function,,,w,Function
$w’=0$,$w(\phi)\equiv constant$,,w’=0,Cond
$w\rightarrow\infty$,"
",,w=0,Cond
$w=0$,,,w-inf,Cond
"$r$, $q$: Arbitrary parameters",,,r q,Function
$n$: Arbitrary parameter,Also found as $\eta$,,n0,Function
$n=0$,,,n=0,Cond
$n=-2w$,,,n=-2w,Cond
$\varepsilon$: Arbitrary parameter,,,epsilon,Function
$\varepsilon=1$,,,e=1,Cond
$\varepsilon=0$,,,e=0,Cond
$\tau=1$,This represents a constraint on the gauge of the vector field $k_{\mu}$ imposed by the lack of full gauge invariance of the action $I$.,,tao=1,Cond
$\tau$: Arbitrary parameter,,,tao,Function
$\tau=0$,"In this case, no constraint is placed on the vector field.",,tao=0,Cond
"$a$, $f$, $k$: Arbitrary functions",,,"a, f, k",Function
"$f_{1}\left(\phi\right)$, $f_{2}\left(\phi\right)$, $f_{3}\left(\phi\right)$: Arbitrary functions",,,"f1(Phi), f2(Phi), f3(Phi)",Function
$e$: Arbitrary functions,,,e,Function
"$\kappa_{1}$, $\kappa_{2}$: Arbitrary functions",,,"Kappa1, Kappa2",Function
Gravitational “constant”,$G_{today}=1=\left[constant\right]$,,G = 1,ElemDis
Gravitational “constant”,$G_{today}\equiv\phi_{0}^{-1}\left(\frac{4+2w}{3+2w}\right)=1$,,G 5-38,ElemDis
Gravitational “constant”,"$G_{today}\equiv G\left[\frac{1}{2}\left(\gamma+1\right)+\frac{3}{2}wK^{2}\left(\gamma-1\right)-\frac{1}{2}\left(\eta-\tau\right)K^{2}\left(1+\sigma\right)\right]^{-1}=1$
",,G 5-61,ElemDis
Gravitational “constant”,$G_{today}=\frac{G}{(1+\frac{1}{2}K^{2})}=1$,"
",G 5-63,ElemDis
Gravitational “constant”,$G_{today}=G\left[wK^{2}(\gamma+1)\right]^{-1}=1$,,G 5-65,ElemDis
Gravitational “constant”,$G_{today}=G(c_{0}c_{1})^{\frac{1}{2}}=1$,,G 5-70,ElemDis
Gravitational “constant”,$G_{today}\equiv\frac{a+3f-4Ka-16K^{2}a}{2a(a+4f)}+O(w)=1$,,G 5-89,ElemDis
Gravitational “constant”,"$G_{today}=c^{2}c_{1}^{\frac{1}{2}}c_{0}^{\frac{-3}{2}}(1+\kappa_{2}^{2}/4\kappa_{1})^{-1}=1$
",,G 5-101,ElemDis
$\phi_{0}$: Cosmological matching parameter,,,Phi0,Cosmo
$K$: Cosmological matching parameter,,,K0,Cosmo
"$C_{0}$, $C_{1}$: Cosmological matching parameters",,,"c0, c1",Cosmo
"$w_{0}$, $w_{1}$: Cosmological matching parameters",,,"w0, w1",Cosmo
"$a$, $b$, $c$, $d$: Cosmological matching parameters",,,"a, b, c, d",Cosmo
Action for scalar-tensor theories,"$\ensuremath{I=(16\pi)^{-1}\int\left[\phi R-\phi^{-1}w(\phi)g^{\mu\nu}\phi_{,\mu}\phi_{,\nu}+2\phi\lambda(\phi)\right]\times\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})}$
",,Ec 5-30,Action
